ticker,label,f5,f10,f20,peak,now,r20_at,dist_high_at
AAOI,extended,-18.838206691866,3.7327700444459655,1.1770496031642042,21.57376316373052,7.154926312377707,76.60474260357724,0.0
AAPL,building,4.704793648100614,7.270156570944319,9.442494737317286,12.618836969471104,7.738209857010725,9.463895727845873,0.0
ABCL,avoid_wait,14.379081164953655,-9.36819805841057,33.551196310631035,40.740736893107865,18.082786407710504,35.3982303996901,0.0
ABVX,noise,-21.713318784793778,,,0.0,-21.713318784793778,10.271236942746388,-2.2166948150261656
ADBE,fresh_watch,0.9293552350803536,-1.2404772554216348,9.301580088921035,9.301580088921035,-2.281520907632262,3.206820600872917,-2.0434459942370253
ADEA,noise,-16.26429696544156,-14.994242698266946,,2.9871378680276672,-2.83691809261738,12.87200315282342,-6.393102010888807
AEHR,extended,22.13526084936255,-2.382900246446995,31.99392500218785,36.175681579142946,11.645837109709811,64.12960287728808,-12.068611263700745
AFRM,noise,-10.218082846577081,,,0.0,-10.218082846577081,7.950847903153457,-1.0047492850485673
ALAB,avoid_wait,3.0310589334239024,7.120497804250769,76.77516013198758,80.64099803474379,72.08943432162268,70.56530523236546,-5.445403372160895
ALB,noise,4.972147280208272,-6.963069764806251,-11.734062011062385,8.309263567477721,-22.71508532895958,8.866308534794642,-10.082548338135112
ALMU,fresh_watch,10.782763821718833,-26.29726886456757,-4.274406983989543,10.782763821718833,-13.843446162038687,147.38903223054055,0.0
AMAT,noise,7.286185244671439,4.201063386100823,10.45518148661988,22.327023036063686,20.003370750148175,3.2251619966214617,-4.194850131323424
AMBA,noise,1.096225995866007,11.863578617287907,,13.970769103386282,-16.297195495850715,43.68218297355189,0.0
AMC,avoid_wait,-2.758626189441482,-6.206898649580772,42.758611391047396,46.206883851186696,24.137923663635142,15.079369734804748,-22.043008788608663
AMD,late_chase,26.25228591924531,17.62911079275531,41.490539965761464,50.4742904180783,35.99877266080789,65.76552117007904,0.0
AMKR,extended,8.074977482170876,-6.933489307690854,5.326941226313231,8.821876221689106,-3.654400405751479,50.88241962338576,-9.142122935667485
AMPG,noise,7.826090021259691,92.60869218180889,155.6521841889295,185.65218729873715,185.65218729873715,21.052630588288434,0.0
AMPX,avoid_wait,-19.98083329472027,-19.26210012510634,4.2165746304729135,9.774791212963096,-9.774800352151193,30.43750524520874,-8.02115315992349
AMSC,extended,-0.9089256776150023,-14.397379404836474,-15.160880580000436,6.744233798163335,-21.214321986949038,74.4134328621767,0.0
AMTX,noise,-26.420456585127962,-34.9431825493855,-24.99999661337243,3.97727572905624,-36.931817027286066,11.392401434102805,0.0
AMZN,building,1.6476488292153313,-1.5358215787687035,-2.6094086875325884,2.50875278601157,-8.588685493992044,27.882921438660023,0.0
ANET,avoid_wait,-4.331562099101404,-4.467558938189143,12.885895051570273,19.22344943681724,6.351146806030128,1.3717447672884964,-17.25651207236991
AOSL,extended,0.7292609093775493,,,21.513214213589492,0.7292609093775493,1.8570083636437085,-11.066070262641215
APH,extended,-1.8723454304649056,,,1.4076791103898367,-1.8723454304649056,2.8390676032967965,-1.6267802220402139
APLD,late_chase,12.472912250019297,15.627261905199298,-4.5990847665622,19.55213817783672,-1.4086181114079,62.416891963057864,-6.125684440217771
APP,noise,-2.8103300406183696,15.720722709782308,,25.068782562023717,14.877009850779865,13.19000516428568,-1.63970428284822
ARKK,extended,-1.9225920383176165,-4.69968007930428,0.6157298975812742,2.9781290055998166,-4.649415044613459,13.104038005574804,0.0
ARM,late_chase,4.619698732370403,5.8348917302330605,98.12555462877097,102.61241646270692,70.41721145810023,36.62700051724186,-13.436396822875874
ASML,noise,10.842236979347808,15.823251866074273,,19.361714845828804,18.789180968475815,-0.06055118982507546,-7.51435304928113
ASPI,late_chase,-14.731588907089266,,,3.995002318107166,-14.731588907089266,55.533982146661586,0.0
ASST,avoid_wait,,,,3.1886043034392353,3.1886043034392353,-10.720777911724767,-20.45332312512422
ASTS,late_chase,20.634228676912713,26.888793575655146,72.68741435327364,94.49071422526971,34.53163400268271,-27.82406701056479,-30.857836252242876
ASX,extended,2.5119622819510745,-7.625596117769662,19.348090569404054,21.411483676597154,6.220101424864777,50.698503027905126,0.0
ASYS,noise,-13.070054662978592,,,3.1969924331975097,-7.334279923447795,22.171169696623117,-6.792284214675515
ATH.TO,noise,-9.463728186580811,-9.463728186580811,,0.0,-7.018929983459621,17.407408159619653,0.0
AUR,late_chase,15.54332380424228,-2.0632750448551618,-5.914715673545601,15.54332380424228,-13.892706391946374,71.8676110672664,0.0
AVAV,noise,12.840508720758592,26.51684045203877,,32.73278462028979,14.338774016036272,-18.105760902823953,-23.12232290327467
AVEX,avoid_wait,1.3428438768305906,12.12756776710464,-4.028531630491738,69.86991049868563,-3.441039435373583,,-33.787166400817924
AVGO,avoid_wait,2.8643439797794157,1.0108022701267982,15.623050978203779,15.623050978203779,-4.777909699035865,32.461918297172865,-1.4807478524507367
AVL,avoid_wait,,,,0.0,-11.203982373018507,-7.180591213829324,-26.090959267979265
AXON,noise,,,,0.0,-3.0980000226000337,13.87476362442641,-5.276698450061479
AXP,noise,0.06783436665254161,1.7796615181413955,,2.2156959380205565,0.8688358155993336,-5.910779903767516,-6.996097618482966
AXTI,avoid_wait,21.20833396911621,28.937498728434253,14.11458651224773,46.697918574015304,-5.437501271565759,81.68054451698994,0.0
BABA,extended,1.9053412801485425,2.5555761554472145,-3.8182335037842963,10.24497475769779,-9.216690850067799,10.4744346460667,-6.2052339131009715
BAC,noise,-0.1575414383518936,0.6301733046436775,,6.675859038055587,6.161189440502479,-4.817246603612868,-6.516936468846868
BAND,noise,4.458053484100777,13.839000599325747,38.60130136542461,54.6376497145707,45.446849090807696,164.41342368554106,0.0
BB,noise,11.469531814267997,14.336921176936679,84.94623361876339,85.30466476638226,66.4874567898365,57.183098553712576,-0.5347630854610319
BBAI,late_chase,-3.441297051109704,,,8.097167828627438,-12.75303860614516,29.31937548561403,0.0
BE,avoid_wait,-1.6352553288400018,-10.369325690969788,4.923084372894682,6.665739072182775,-12.150085069436367,113.80741825810183,-0.6471067177225787
BETA,extended,1.4876058591649421,-17.63085331416807,-0.11019536189550427,2.920114037382149,-3.3057872952082845,9.933369878332886,-0.6568190269661711
BIDU,late_chase,7.048868283837151,-3.8196139533864026,-4.118353678747722,7.048868283837151,-15.285581068030607,23.856923347741432,0.0
BIRD,avoid_wait,-13.312695486625604,-31.733748895191926,-35.29412068645064,0.0,-37.30649896564721,142.85713645492558,-61.97763316554876
BJ,noise,-12.490977295336748,-8.72926035995205,,0.6492887671219139,-5.585899450821974,3.7642996071567625,0.0
BKKT,extended,-2.42024492118601,6.4906506345868475,-1.87018782662558,35.533547722953095,-10.781083382398426,19.13499365987825,-4.91632056902831
BMNR,noise,0.0,-10.863633589311084,-27.727274461226024,4.636365717107593,-23.40908917513761,4.364326753432923,-5.619903457554287
BRUN,late_chase,,,,0.0,-22.230970216724877,100.31544456966226,-2.8061282331869886
BRZE,late_chase,-18.39405970547623,,,0.0,-18.39405970547623,19.991515698588724,0.0
BTC,building,4.155247892656599,4.5399619782806155,-0.8184143120275267,5.06520892758926,-21.70273407021067,7.014957950248246,-0.6083829575697308
BUG,noise,10.56822354319944,18.7839330137483,38.689833003096695,39.52225989134257,25.696708639613064,6.9272407028195815,0.0
BULZ,noise,-21.038301180769636,,,0.0,-21.038301180769636,57.58009609632939,0.0
BW,late_chase,6.557375891718276,3.913272221519537,,15.54733240497601,-16.023266829300663,3.673246078406467,0.0
BWXT,noise,,,,0.0,0.0,-8.580829057377247,-11.012141379490181
BXDC,noise,1.3985977920283998,2.097896688042611,,4.149181156143111,3.496503372138915,,0.0
BZAI,noise,,,,1.117317394007622,-4.469269576030488,-22.51082224274067,-22.51082224274067
CAMT,noise,3.6503060575419966,,,7.289166713664685,-3.4958236943730348,-6.947773478432772,-15.752437519026596
CAN,noise,-10.746814680156492,-24.043720059252884,-31.511845146922724,0.9107459026965525,-35.51912820448236,32.28916526134951,-4.355396535994038
CAT,extended,0.834630890107646,-4.912723015075504,2.386712784725642,3.967538061196829,1.221546497851711,25.105213101638423,0.0
CBOE,avoid_wait,,,,0.32619875688237876,-1.676604236045276,-16.943558308607376,-22.08956413838402
CCL,noise,4.632171285822073,12.309751997252793,,12.792108834128491,8.571452010309555,-13.15058946613117,-14.339490126184506
CEG,extended,-6.653163041423116,-18.26597610056354,-14.943583521692915,0.5388597662227657,-21.800505262548597,16.677559990295986,0.0
CENX,noise,14.48434248704029,12.47800103954193,,21.031321739571784,11.40443431369218,-8.708229173325588,-11.687903436571666
CGEH,late_chase,-14.12671685867527,-23.373291306344345,-3.5958909702068276,16.43835638808273,-1.7123352543991444,96.96459769456867,0.0
CIEN,avoid_wait,,,,0.0,-12.87455721793731,-7.136041663778703,-14.572567004336124
CIFR,noise,-3.454465796936268,6.101384688842915,,17.94526619877157,8.972633099385785,28.546716951445326,0.0
CLFD,noise,-11.958637249589788,,,0.0,-19.82052317614711,83.92535621804875,0.0
CLOV,extended,5.937501699663672,12.812495040707361,,30.624992689117892,22.50000055879353,57.63547255091559,0.0
CLX,noise,-1.020521588511003,3.3221121901174433,2.2038853173872885,5.428292223285558,3.311261569370827,-13.332940905374368,-13.332940905374368
CMG,noise,1.1325459666959414,0.06121964764198573,,3.3057909139440733,-10.407094893606484,-6.443299306931083,-9.375870012891664
CML.L,noise,-9.523809523809524,-3.1746031746031744,-8.730158730158733,17.460317460317466,-8.730158730158733,27.530364372469627,0.0
COHR,building,11.402018743226305,5.331663333848735,24.335024875920364,27.152771774645323,19.71821985617752,31.607214015547335,-4.205778007542715
COIN,building,6.704763900708355,-6.675206997919969,-14.286417663541872,6.704763900708355,-20.138924960120352,16.1336536931308,-4.082596602704203
CORZ,late_chase,2.7039223390230793,3.2897680246375405,30.37404059893325,30.914819909418554,22.352406332122253,31.84789444236231,0.0
COST,noise,2.884216598998246,3.7932487901794154,-3.9711086831173192,8.127971555926084,-3.686540091357937,-1.792726725688032,-1.792726725688032
CPSH,late_chase,-29.909910428505615,,,0.0,-30.180182579652847,140.78091236426303,-4.227780540699588
CRCL,late_chase,10.23173751563473,-6.810005415191489,-15.627876261980889,10.23173751563473,-30.95457239008068,29.712421920827325,0.0
CRDO,avoid_wait,16.74997449241602,-13.212259029599982,27.17983067031897,31.084084182823446,23.442189984553075,75.73687211352026,-7.680473873664829
CRM,noise,7.140830993816882,,,18.975993802594736,3.621504767624595,-2.7866698034106907,-5.7864094370617565
CRWD,noise,15.561337705846023,31.879215320235566,63.87137247679118,66.6886879184103,40.39510522074061,17.71907565750488,0.0
CRWV,extended,-4.08369088573608,-9.839508339028724,4.881940554830888,15.939831317365826,-13.982017553953717,44.71060946933682,-2.880691001243152
CSCO,noise,12.250903495688581,16.462153912751386,,27.613621767926965,21.871010286238967,23.68868624532079,0.0
CSIQ,extended,25.078768271020913,8.254571071602435,29.61562598082881,29.61562598082881,7.3724072993403444,23.984372258419207,-5.140464316846527
CVU,avoid_wait,22.739723343007245,39.99999999999999,,43.2876680116087,36.438353122074886,4.285717010498047,-8.060451660873657
CXDO,late_chase,15.911874891004473,18.23745112856907,22.766213455422314,28.15177685748791,-5.875153177369652,29.682536967367223,0.0
CXM,noise,,,,0.0,-3.9145870937996374,4.460962193550144,-6.489190157573654
DAL,noise,8.415201125191697,16.00455265058711,,17.456918582968495,11.362658900900113,-1.8177270598926376,-3.986457619721917
DARE,late_chase,17.521371832025757,-7.264950603030906,-6.410250532086104,39.743594054247964,-20.94016702139073,34.48275295080671,-20.67797029336881
DBC,noise,-0.2524453214195366,-6.942255367194095,,0.0,-7.00536820224179,9.882109453504938,0.0
DCO,noise,-2.261600225404603,2.502933816014541,,4.971389901781076,3.4544539398776664,2.6470420205838785,-1.266254079978324
DDOG,avoid_wait,7.47628937093896,15.530121455048018,24.044935044838113,47.030147044020865,22.757377163430426,73.17855561942554,0.0
DELL,late_chase,10.456728157966833,8.755541115635257,94.6560522906946,115.4030952655715,85.26718539399869,22.116788346317897,0.0
DGXX,avoid_wait,-7.985703524605081,-4.529202608952742,,0.8343229077449221,-24.19547230917506,205.09092157537285,0.0
DIA,noise,1.5422008311450908,1.5777586076670014,5.060349985570434,5.601955858584962,4.009851892910521,4.9270019610339055,-1.4275641984898169
DIS,noise,3.365910319104648,2.566386502982465,0.09871296607009139,7.254966223116011,-2.408444251121933,5.224344456866037,-4.694266556826355
DJIA,noise,0.031915238691637704,,,0.16868986379845463,0.031915238691637704,2.2420830509998213,-0.2274450143825546
DJT,noise,-6.342009861618935,-6.2287677858101524,,7.248022070810367,-7.7010227752117295,-8.020837782985456,-13.93762449585858
DLO,noise,-2.054235992719111,-2.49586537686185,,4.026289478121159,-3.9997877310456786,-10.051730169438756,-13.257299970072323
DOCN,late_chase,1.9310053451206066,-1.8000915906865145,13.687234285879812,18.151466225060386,10.833280479747431,76.42916125821664,0.0
DOW,fresh_watch,-8.488469093582252,-3.8222973514523417,-13.023723667601239,1.2658163682039536,-14.252267665544515,-2.6811520548766343,-2.7046528739559816
DPZ,noise,0.8350516853592005,0.5029654179051546,,2.05054980541306,1.0865343943117889,-15.984507847134854,-16.71097734590914
DRAM,late_chase,10.823068097742606,7.517821286257553,50.59407583871833,50.59407583871833,30.740979176483595,57.2350546053042,0.0
DRS,noise,,,,0.0,0.0,12.785297432468678,-4.532401887915338
DUOL,avoid_wait,-4.608547288713427,2.7306490203845346,-0.25402013985676986,7.021679785953383,7.012605907766067,10.917696119318876,-0.9168509151158744
EBAY,noise,3.478436406923757,11.588353144843344,6.328362132599019,14.307682208073814,4.487974704900433,10.54811436484584,-2.8563464928001103
ELMT,noise,12.369112410679639,,,44.5680663522662,13.612571424933616,-6.544346321307859,-8.721625197784878
EMN,fresh_watch,-5.0045109177198395,-7.674444785146884,-2.6312407424828876,0.0,-7.5583654103144156,3.2769403150034515,0.0
ENAFF,late_chase,8.609266253104654,,,39.60264497459753,5.960262223799195,331.4285823277065,0.0
ENPH,noise,-10.762473218868873,,,13.476623668633891,-10.762473218868873,88.30134284111453,-9.305630640899542
ENS,noise,5.5295997324364965,-1.378994478664719,8.931731782254971,10.383306739179776,3.615332878672861,23.88311364363853,0.0
EOPSF,noise,1.0634906386272291,40.31745849132664,,40.31745849132664,22.06348927623538,-14.285710578525446,-17.268543925250967
EOS,avoid_wait,1.0738244609478587,2.5503341615009667,,2.774044390615771,-0.8948579844556659,1.9930616248422295,-1.5331728498358288
EOS.AX,noise,0.6802768899403677,26.190481854237046,,39.002274978266605,11.90476447919866,-14.451994802613932,-17.57009484068425
EOSE,momentum_confirmed,34.32601161599214,16.45767547121302,47.64890136870199,47.64890136870199,4.8589331852497475,31.818180026907793,-16.81877378124278
EPD,noise,4.297692338066561,-0.44548786589380107,,4.297692338066561,-1.6771472542126853,3.916372138353985,-1.395351175404802
EQR.AX,noise,4.651158277636491,,,11.62790262486375,-4.651165208409025,-21.818182212262105,-27.118639615855123
ERIC,noise,3.352888585901681,7.124890243520299,10.310138397085344,15.171830843601253,4.945516659642668,3.6490014590968123,-1.8914436276516566
ESP,noise,-19.860674059319685,-15.211824716115785,,0.2274718089844141,-20.94113803586358,8.54937195251031,-2.6031637372412098
ETH,noise,-0.8382928363612652,-2.7899012386219613,-10.586575036817791,0.9651807822873337,-30.79432062248032,0.9937715105242884,-3.0843697153592253
ETHA,noise,-3.6871500641199484,-11.00558299071206,-24.134077021722998,0.0,-28.93854447985057,12.225704279522365,-2.6115319050771246
EWY,extended,17.40740552360629,10.40740778416762,33.76543021496432,33.76543021496432,14.59259221583238,31.84666426200311,0.0
FB,noise,-1.534178435152711,,,0.12560505185572612,-1.534178435152711,1.8457571253691407,-0.058285084525344644
FCEL,late_chase,17.088012707084843,-0.23408774803568289,,23.501865201175278,-27.43445900236383,194.62069807381462,-1.111110031850071
FEIM,avoid_wait,,,,0.0,0.0,12.151327166667603,-7.801790172941326
FIG,avoid_wait,10.245464779850334,22.305231356608356,44.71718874314172,44.71718874314172,12.593386548428697,-11.894690325321754,-12.5116727153601
FIGR,noise,-10.145635561455002,-14.268079532910027,,6.837819236075537,-31.226853209859307,13.728241258511709,0.0
FIVN,noise,5.175604763506381,21.34935753021967,,21.34935753021967,6.977820108461508,37.135613154879785,-10.799673596516513
FLNC,avoid_wait,104.62286859976632,58.475271990546474,126.35847542668226,126.35847542668226,95.21492168500718,-6.5909083191684985,-18.934911947520195
FLY,noise,-18.21880892290768,,,0.0,-18.21880892290768,30.887581884792304,-24.77469708314153
FMCC,noise,,,,0.0,-3.4653471968623784,-18.32884258127503,-18.32884258127503
FN,noise,,,,0.0,0.0,0.3911267964836096,-16.445396807434477
FNMA,noise,,,,0.0,-3.851855242693869,-18.181818181818176,-18.181818181818176
FORM,noise,-2.772232050768575,,,0.0,-4.584550118829201,-3.917949978912627,-13.989427694602485
FOUR,noise,-10.358203800736865,,,3.1485220072252185,-14.077120068178894,-2.794407445706981,-6.446097633780257
FPS,fresh_watch,-3.327352489817781,8.906159280754355,,28.690970522399194,18.19087730210982,54.24092567483447,0.0
FSLR,extended,3.89211183839393,10.230970533478123,43.12030154035853,50.32355104032706,30.078884282799102,8.391357144709755,0.0
FSLY,extended,-26.932666719395648,-39.43712082357236,-32.02707470202009,15.283223947873314,-30.958320728660183,-16.208956134853082,-16.208956134853082
FTC,noise,4.51710652745656,0.7985050176040343,9.249865617361497,9.249865617361497,5.333096407225457,8.878033589670276,-0.09316275973950683
FTNT,late_chase,12.092734092324186,12.347411275544019,,31.439355896070587,25.616922662651255,44.68870033307593,-1.3600135668925484
FUBO,noise,-15.79861611265807,,,0.0,-15.79861611265807,-16.64254188024279,-16.64254188024279
GAMB,noise,-46.33027884145635,-44.724770366277646,,0.0,-44.49541279386866,19.12568391442648,-3.3259442961186103
GAP,noise,-13.760002136230465,,,0.0,-14.839996337890627,3.0502875685763042,0.0
GEV,noise,-5.039502450221023,-8.439975039600633,-13.908446171502376,0.0,-16.54303923408229,19.53806362582613,-2.6593536123691863
GFS,extended,10.686343710360923,0.1328359230857945,24.870846456267294,32.78228647154635,14.110697503459413,55.354274367788946,0.0
GLD,noise,-0.8315562677388089,-1.4450379006972436,,0.273187497307803,-4.797627338612598,-6.422529231327667,-6.422529231327667
GLW,noise,-7.869212228381494,-12.887625238921563,,0.0,-9.819751338144167,25.409440920655356,0.0
GLXY,noise,-7.7091171976406025,-7.677905497902515,,0.0,-4.775282905513379,31.150227242278405,0.0
GME,momentum_confirmed,-8.480964725841822,-18.62043123332553,-19.487372568732663,0.0,-16.09498811627651,13.57020545148966,0.0
GOGO,avoid_wait,-1.5659887720311794,-13.19909851104123,-2.6845613241949895,6.935132755418039,-22.706933201938195,8.495143552293417,-9.879037181184847
GOLD,noise,-8.57538506599812,-0.07263253338264386,,0.5529281967572741,-6.258727194838409,-1.3193797954711428,-10.79580359463026
GOOG,extended,3.608894165644072,2.6355639133691433,-2.7764745254904466,4.128177341471573,-5.6971505522000365,30.143322747828716,0.0
GOOGL,extended,1.406400002422159,3.572087889901221,-5.583817942370228,5.0541481728830995,-5.146245601588861,27.754258767427874,-0.6326388005902461
GRAB,noise,1.3623964925574494,-3.2697580785567726,-1.6348822874878488,3.2697515821378698,-9.264309142228432,1.3812207821973788,-12.826602303089473
GRAL,noise,-3.6334641901145437,5.22708968812251,6.055781755789336,17.80079389473357,-1.9601586330459386,23.57227551880785,0.0
GRND,avoid_wait,,,,0.0,-5.721606098303377,-14.212451535527482,-22.39894022705664
GTLB,noise,4.270025337718608,2.0333468763617635,29.402193970606504,37.41358562769766,26.392841524383414,8.04042137655092,0.0
HACK,noise,3.9965868057676213,11.18557370453448,28.390402264406546,28.390402264406546,17.923722601646787,6.019888660715589,0.0
HBM,extended,6.6950100164519855,,,12.894089110951201,-7.509737748004309,25.690118846677358,0.0
HII,avoid_wait,-12.554692033024107,-9.362354978021969,-18.83525591017251,0.0,-19.222200488659336,-10.864449294126644,-11.664036862412175
HIMS,fresh_watch,-10.19345184771211,-14.285708203607484,4.203873152513182,8.407739209235077,1.078872487282756,38.62815888027713,-13.318287770500136
HIMX,noise,-3.82012042489972,-0.5319178371773647,,16.972921552633412,-1.6924582993460002,83.49600235312992,0.0
HON,noise,,,,0.0,-5.133025054664342,7.379214990088845,-6.1380669578961715
HOOD,building,1.609759682487244,-3.7258148288571213,7.5554975815324,22.419842329145332,10.398548959062559,10.595832148942419,-15.606685848745993
HPE,building,6.106380706137804,,,19.468088352933833,6.106380706137804,64.50822716849586,0.0
HROW,noise,-18.769719046149213,-10.17350855268343,,0.0,-12.986336284208178,2.53369940718986,-8.337347191500378
HUBC,noise,-12.925173709016136,-25.170067861711388,,342.17686214232555,-40.13605591126418,-98.8692307472229,-98.8692307472229
HUM,noise,-1.4084959341809644,4.862746693729569,,16.333336923636633,16.333336923636633,45.47875122544023,0.0
HUT,building,-0.5691231252867857,-11.409950455858764,17.275563863647434,22.10391159483056,9.78519900295427,77.34006495231536,0.0
IBIT,extended,-1.0371641203479331,-6.006911954674665,-20.051856145355462,0.4105497977913597,-22.45030177981844,18.363172852622924,0.0
IBM,late_chase,-12.358780489361276,,,2.749515382746437,-12.358780489361276,39.00874451064282,0.0
ICE,noise,-3.4297108244861763,-8.724918348020694,,0.0,-10.859671674380833,-2.876530166011182,-2.876530166011182
IGV,building,2.544097623121022,5.009045887476948,18.419267826592247,21.777469442740216,8.15241845933854,9.917975947968394,-0.3380611106435061
IMOS,late_chase,18.757787481897225,6.771919770591994,34.212715890155735,45.9493207873586,17.32447083159134,31.637954037122217,-5.124166737900914
IMSR,extended,,,,0.0,-22.916668736272307,32.59669454363916,0.0
INDI,avoid_wait,-10.112358547243305,,,0.0,-16.292141152367144,30.56234604805772,0.0
INFQ,noise,5.225479801594779,16.10593416834789,,42.23336048267252,6.012885730363293,-10.27616865225297,-19.804820861970484
INTC,extended,25.396501430262532,9.184896249963526,9.747037559488337,29.93374711169374,10.690617951071847,97.73719855998588,0.0
INTT,late_chase,2.082058506897577,7.164727996082054,1.8983433398083616,15.737903899762928,-4.286587951840437,20.962962397822626,-12.627076206076515
INUV,noise,-19.689119459014638,-17.098442107489355,,0.0,-24.870461808770628,-3.9801016564634972,-10.232564560976043
IONQ,extended,24.349725441854496,7.7814237667563235,56.06557710574624,57.53005397775786,37.2677578952143,56.46374951476438,-5.318708011290618
IOT,noise,-0.5430192406168932,,,10.17432805893408,-2.657903002468598,21.746701312188165,0.0
IPGP,noise,4.5713124593982135,18.60898642964701,20.1785356113245,20.1785356113245,9.152436706113388,-15.254799513225736,-19.93402239573655
IPWR,avoid_wait,,,,0.0,-19.298243694809802,56.659615592635504,-17.575083024830118
IRDM,noise,8.172479784686203,8.799203283872004,24.341938413246567,30.53396964537565,19.02732581780264,21.652937712359034,-8.108731790224866
IREN,late_chase,34.034167690449756,15.943930800756423,43.079286135296435,48.57642699211622,29.632060500463897,31.320101369791175,-12.226067963062404
IVV,noise,-0.5959983006513792,1.6936122499267015,,2.892357523592781,0.14158220812938715,6.295056938822152,-0.15348564771962003
IWM,noise,2.681006750591841,-0.6873483620798315,4.958974570735375,5.092123811661686,2.241967885158669,10.112539313179148,-0.5012868456758857
JBL,late_chase,4.014701632506079,-1.2764144221099727,12.413446804058449,12.772298922574766,7.938144824420945,23.606384799630376,-1.521294621883662
JD,late_chase,10.035841870670836,5.767346104966076,-4.8875854476946206,10.035841870670836,-6.842620869749716,9.411769585751074,-2.8797463178061644
JEDI,noise,-12.96295543635997,,,2.79046763042452,-12.96295543635997,39.63867803103243,-7.072136090275061
JNJ,noise,2.582136834292803,2.0924234659315477,2.164640080795155,4.327305648657909,3.951191680044741,-6.912558604491103,-6.916412565658925
JOBY,late_chase,17.51351227631439,11.99999628840267,29.405408292203326,32.9729750349715,4.864862802866332,8.823529411764696,0.0
JPM,noise,-3.31871702137031,-4.691651552097243,-5.0852928557497235,0.7776723097539628,-0.43524686012338387,6.60866418076651,-1.4259090674534902
KLAR,noise,-7.541901733183232,,,0.0,-7.541901733183232,23.024050748319723,-2.1323197237567038
KO,noise,1.3000110256927488,2.9281832595318136,-3.041781597878057,3.3951719021053206,0.3912628366266713,2.510030299425847,0.0
KOPN,noise,1.7821717297328732,14.25742104946095,,26.534646042374476,8.31682343749911,69.4630925641726,-8.514488982167755
KRKNF,noise,-10.405646290106041,-8.853612844563196,7.2310377759306155,7.2310377759306155,-6.70194196345224,-8.2524234014709,-12.49999908017524
KRMN,noise,2.752876790344949,1.6645341279561077,,7.682457221875882,-20.550576579162872,-30.71634582967465,-32.62159249392006
KTOS,momentum_confirmed,-7.976745684427399,-12.449538263329051,2.1637334829399224,5.2640111741740325,-6.78185167486337,-16.412466775215716,-17.050633180445697
KULR,late_chase,17.717722705869086,33.0330309259691,,57.057061228183635,12.012015151107258,42.91845634095208,0.0
KVYO,avoid_wait,-9.930427620675541,-4.427582190768997,-0.18975765875555162,16.12903303639941,-3.731816172856206,-12.555307044625518,-32.23317414779818
KWEB,noise,2.7889782168097677,-5.510750594876779,-8.837369112527227,2.7889782168097677,-12.231180650717366,2.268040683024819,-2.2660115493245314
LAC,extended,-2.451836524523543,-12.259190973531108,-3.5026236064622074,4.903673049047086,-20.140106614441166,41.33663594214407,-0.34903980558358416
LAES,noise,1.7421669940284046,0.0,23.693383061746598,29.61673090400021,12.195127421859354,14.799995422363278,-6.209152312855048
LASE,late_chase,,,,0.0,-9.392263119279109,388.5290016012816,0.0
LASR,late_chase,22.873544087040788,15.470611098457576,-0.5136787350720207,28.34264060262417,0.8762565044072801,5.532527348800054,-12.666576538006492
